meanedge,threshold
3.535140,0.916641
3.660190,0.921797
3.060610,0.885742
3.247790,0.898594
3.402300,0.907187
3.280000,0.899453
3.830510,0.925234
3.258060,0.901172
3.941180,0.912344
3.881820,0.926094
3.198350,0.892578
3.945450,0.929531
3.932430,0.929531
3.282610,0.890859
3.771430,0.923516
3.263160,0.900313
3.974360,0.932109
3.287360,0.902891
3.894740,0.924375
3.886960,0.926953
3.144580,0.892578
3.292130,0.895156
3.666670,0.920078
3.292450,0.902031
3.420450,0.908906
3.437500,0.913203
3.594060,0.916641
3.967210,0.929531
3.613640,0.917500
3.159090,0.894297
3.365380,0.908047
3.192980,0.896875
3.564100,0.918359
3.955560,0.929531
3.882350,0.925234
3.783780,0.924375
3.181820,0.894297
3.293480,0.886719
3.852460,0.926094
3.765960,0.925234
3.234780,0.897734
3.160490,0.888672
3.752530,0.923516
3.960000,0.930391
3.944440,0.926953
3.420000,0.896875
3.057140,0.881836
3.704230,0.923516
3.731340,0.920078
3.848210,0.930391
3.264960,0.899453
3.071430,0.885742
3.400000,0.898594
3.230770,0.898594
3.526670,0.914922
3.596150,0.917500
3.522390,0.914922
3.586210,0.919219
3.208330,0.891719
3.171720,0.896016
3.978260,0.932109
3.986580,0.932969
3.449610,0.912344
3.531910,0.914062
3.692910,0.926094
3.142860,0.893438
3.722770,0.922656
3.504950,0.902891
3.142860,0.890859
3.691360,0.916641
3.060980,0.883789
3.865280,0.926953
3.605770,0.918359
3.175820,0.894297
3.972660,0.931250
3.240000,0.890859
3.367650,0.908906
3.352110,0.903750
3.779870,0.922656
3.938890,0.927812
3.309860,0.906328
3.626870,0.919219
3.483870,0.914062
3.986750,0.929531
3.925230,0.927812
3.819670,0.923516
3.818180,0.924375
3.468750,0.912344
3.736840,0.925234
3.699030,0.911484
3.901100,0.929531
3.285710,0.902891
3.465000,0.911484
3.166670,0.895156
3.972410,0.930391
3.857140,0.928672
3.732760,0.923516
3.242420,0.897734
3.573430,0.917500
3.772730,0.925234
3.962030,0.921797
3.575340,0.903750
3.970760,0.929531
3.849060,0.926094
3.853210,0.929531
3.526320,0.916641
3.725810,0.924375
3.683170,0.905469
3.328240,0.901172
3.329110,0.896016
3.392410,0.906328
3.576640,0.916641
3.162160,0.892578
3.354430,0.905469
3.860870,0.926094
3.117650,0.890859
3.806600,0.926094
3.666670,0.919219
3.520000,0.908906
3.946560,0.928672
3.178570,0.894297
3.917430,0.930391
3.333330,0.904609
3.244900,0.898594
3.226670,0.900313
3.031250,0.882812
3.871430,0.929531
3.923080,0.920938
3.457750,0.913203
3.030930,0.880859
3.750000,0.922656
3.530610,0.899453
3.884350,0.926953
3.302820,0.906328
3.253970,0.901172
3.709680,0.922656
3.507810,0.914922
3.915090,0.926953
3.959060,0.929531
3.913790,0.929531
3.984620,0.927812
3.388890,0.910625
3.400000,0.893438
3.790210,0.926094
3.828730,0.923516
3.151900,0.894297
3.225810,0.900313
3.954550,0.928672
3.346940,0.905469
3.857140,0.926094
3.411760,0.906328
3.181030,0.897734
3.795920,0.926094
3.980770,0.924375
3.940170,0.930391
3.871790,0.929531
3.776320,0.926953
3.309280,0.901172
3.375000,0.906328
3.702700,0.920078
3.697670,0.919219
3.325000,0.904609
3.181820,0.894297
3.673330,0.918359
3.303030,0.903750
3.467070,0.913203
3.312500,0.896016
3.098900,0.890859
3.228570,0.902031
3.382720,0.906328
3.916670,0.928672
3.528850,0.916641
3.363640,0.908047
3.478720,0.902891
3.298510,0.903750
3.603170,0.906328
3.681820,0.924375
3.556700,0.918359
3.872880,0.926094
3.714290,0.923516
3.096150,0.888672
3.787880,0.920938
3.796460,0.927812
3.221050,0.900313
3.138160,0.891719
3.444440,0.907187
3.680000,0.911484
3.606060,0.919219
3.891430,0.925234
3.563640,0.917500
3.208330,0.891719
3.303030,0.902031
3.543480,0.900313
3.897200,0.926953
3.830770,0.926094
3.058820,0.881836
3.212120,0.894297
3.602940,0.920938
3.724140,0.920938
3.779820,0.924375
3.923080,0.926953
3.482350,0.914062
3.474360,0.913203
3.581630,0.904609
